nomina,name,area,coordination,email,loadLimit
1M,Joane,matemáticas,Omsk,l01234567@tec.mx,14
2M,Candi,matemáticas,Chongqing,l01234567@tec.mx,14
3M,Caressa,matemáticas,Qingdao,l01234567@tec.mx,14
4M,Claudina,matemáticas,Philadelphia,l01234567@tec.mx,14
5M,Mariann,matemáticas,Siem Reap,l01234567@tec.mx,14
6M,Meghann,matemáticas,Astana,l01234567@tec.mx,14
7M,Sara-Ann,matemáticas,Tartu,l01234567@tec.mx,14
8M,Dianemarie,matemáticas,Juneau,l01234567@tec.mx,14
9M,Aimil,matemáticas,Belém,l01234567@tec.mx,10.5
10M,Codie,matemáticas,Cape Town,l01234567@tec.mx,10.5
11M,Dale,matemáticas,Bucharest,l01234567@tec.mx,10.5
12M,Dagmar,matemáticas,Rotterdam,l01234567@tec.mx,10.5
13M,Joy,matemáticas,Rome,l01234567@tec.mx,10.5
14M,Evita,matemáticas,Antofagasta,l01234567@tec.mx,10.5
15M,Tilly,matemáticas,London,l01234567@tec.mx,10.5
16M,Allis,matemáticas,Santa Cruz de la Sierra,l01234567@tec.mx,10.5
17M,Violet,matemáticas,Kanpur,l01234567@tec.mx,10.5
18M,Jean,matemáticas,Mérida,l01234567@tec.mx,10.5
19M,Edith,matemáticas,Jinan,l01234567@tec.mx,10.5
20M,Sidoney,matemáticas,Chuí,l01234567@tec.mx,10.5
21M,Angela,matemáticas,Mumbai,l01234567@tec.mx,10.5
22M,Mathilda,matemáticas,Jayapura,l01234567@tec.mx,14
1F,Brietta,física,Shijiazhuang,l01234567@tec.mx,14
2F,Patricia,física,Sarajevo,l01234567@tec.mx,14
3F,Jackie,física,Aberdeen,l01234567@tec.mx,14
4F,Frieda,física,Alexandria,l01234567@tec.mx,14
5F,Elka,física,Birkirkara,l01234567@tec.mx,14
6F,Philis,física,Dibrugarh,l01234567@tec.mx,10.5
7F,Felice,física,Nicosia,l01234567@tec.mx,10.5
8F,Anestassia,física,Edinburgh,l01234567@tec.mx,10.5
9F,Marline,física,Ciudad del Este,l01234567@tec.mx,10.5
10F,Viviene,física,Handan,l01234567@tec.mx,10.5
11F,Gaylene,física,Ibadan,l01234567@tec.mx,10.5
12F,Margalo,física,Montevideo,l01234567@tec.mx,10.5
1E,Stephanie,Reto,Naypyidaw,l01234567@tec.mx,3.5
2E,Krystle,Reto,New Orleans,l01234567@tec.mx,3.5
3E,Vivia,Reto,Assis,l01234567@tec.mx,3.5
4E,Belinda,Reto,Rome,l01234567@tec.mx,3.5
5E,Cam,Reto,Ürümqi,l01234567@tec.mx,3.5
6E,Gloria,Reto,Montevideo,l01234567@tec.mx,3.5
7E,Marti,Reto,Mamoudzou,l01234567@tec.mx,3.5
8E,Blake,Reto,Zhengzhou,l01234567@tec.mx,3.5
9E,Fanny,Reto,Vilnius,l01234567@tec.mx,3.5
1Q,Lisette,quimica,Bangalore,l01234567@tec.mx,14
2Q,Nanete,quimica,Huế,l01234567@tec.mx,14
3Q,Janenna,quimica,Francistown,l01234567@tec.mx,14
4Q,Aeriela,quimica,Tijuana,l01234567@tec.mx,14
5Q,Suzette,quimica,Puebla,l01234567@tec.mx,14
6Q,Renae,quimica,Wollongong,l01234567@tec.mx,14
7Q,Orsola,quimica,Tokyo,l01234567@tec.mx,10.5
8Q,Pierette,quimica,Assis,l01234567@tec.mx,10.5
9Q,Elsie,quimica,Tashkent,l01234567@tec.mx,10.5
10Q,Caressa,quimica,New Delhi,l01234567@tec.mx,10.5
11Q,Marjie,quimica,Austin,l01234567@tec.mx,10.5
